"target_end_date","location","value","output_type_id","origin_date","output_type","target","horizon"
2026-04-26,"MT",1,"0.45",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"MT",1,"0.5",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"MT",1,"0.55",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"MT",1,"0.6",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"MT",1,"0.65",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"MT",1,"0.7",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"MT",2,"0.75",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"MT",2,"0.8",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"MT",2,"0.85",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"MT",2,"0.9",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"MT",3,"0.95",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"MT",3,"0.975",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"MT",4,"0.99",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"PL",10,"0.01",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"PL",11,"0.025",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"PL",12.95,"0.05",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"PL",14,"0.1",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"PL",16,"0.15",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"PL",16,"0.2",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"PL",17,"0.25",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"PL",18,"0.3",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"PL",19,"0.35",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"PL",20,"0.4",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"PL",20,"0.45",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"PL",21,"0.5",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"PL",22,"0.55",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"PL",22,"0.6",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"PL",23,"0.65",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"PL",24,"0.7",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"PL",25,"0.75",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"PL",26,"0.8",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"PL",27,"0.85",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"PL",29,"0.9",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"PL",31,"0.95",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"PL",33,"0.975",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"PL",36,"0.99",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"PT",0,"0.01",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"PT",1,"0.025",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"PT",1,"0.05",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"PT",2,"0.1",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"PT",2,"0.15",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"PT",3,"0.2",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"PT",3,"0.25",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"PT",3,"0.3",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"PT",4,"0.35",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"PT",4,"0.4",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"PT",4,"0.45",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"PT",4,"0.5",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"PT",5,"0.55",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"PT",5,"0.6",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"PT",5,"0.65",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"PT",6,"0.7",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"PT",6,"0.75",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"PT",6,"0.8",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"PT",7,"0.85",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"PT",8,"0.9",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"PT",9,"0.95",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"PT",10,"0.975",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"PT",11,"0.99",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"SK",0,"0.01",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"SK",0,"0.025",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"SK",0,"0.05",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"SK",0,"0.1",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"SK",1,"0.15",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"SK",1,"0.2",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"SK",1,"0.25",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"SK",1,"0.3",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"SK",1,"0.35",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"SK",2,"0.4",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"SK",2,"0.45",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"SK",2,"0.5",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"SK",2,"0.55",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"SK",3,"0.6",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"SK",3,"0.65",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"SK",3,"0.7",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"SK",4,"0.75",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"SK",4,"0.8",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"SK",5,"0.85",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"SK",5,"0.9",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"SK",6,"0.95",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"SK",7,"0.975",2026-04-29,"quantile","hospital admissions",1
2026-04-26,"SK",9,"0.99",2026-04-29,"quantile","hospital admissions",1
2026-05-03,"CZ",0,"0.01",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"CZ",0,"0.025",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"CZ",0,"0.05",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"CZ",0,"0.1",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"CZ",0,"0.15",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"CZ",0,"0.2",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"CZ",0,"0.25",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"CZ",0,"0.3",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"CZ",0,"0.35",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"CZ",1,"0.4",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"CZ",1,"0.45",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"CZ",1,"0.5",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"CZ",1,"0.55",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"CZ",1,"0.6",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"CZ",1,"0.65",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"CZ",2,"0.7",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"CZ",2,"0.75",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"CZ",2,"0.8",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"CZ",2,"0.85",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"CZ",3,"0.9",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"CZ",3,"0.95",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"CZ",4,"0.975",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"CZ",5,"0.99",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"EE",1,"0.01",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"EE",2,"0.025",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"EE",2,"0.05",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"EE",3,"0.1",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"EE",3,"0.15",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"EE",4,"0.2",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"EE",4,"0.25",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"EE",4,"0.3",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"EE",5,"0.35",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"EE",5,"0.4",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"EE",6,"0.45",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"EE",6,"0.5",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"EE",6,"0.55",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"EE",7,"0.6",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"EE",7,"0.65",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"EE",7,"0.7",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"EE",8,"0.75",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"EE",8,"0.8",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"EE",9,"0.85",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"EE",10,"0.9",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"EE",11,"0.95",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"EE",12,"0.975",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"EE",14,"0.99",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"LV",1,"0.01",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"LV",2,"0.025",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"LV",3,"0.05",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"LV",4,"0.1",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"LV",4,"0.15",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"LV",5,"0.2",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"LV",5,"0.25",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"LV",6,"0.3",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"LV",6,"0.35",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"LV",7,"0.4",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"LV",7,"0.45",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"LV",8,"0.5",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"LV",8,"0.55",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"LV",9,"0.6",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"LV",9,"0.65",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"LV",10,"0.7",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"LV",10,"0.75",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"LV",11,"0.8",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"LV",12,"0.85",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"LV",13,"0.9",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"LV",15,"0.95",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"LV",17,"0.975",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"LV",19,"0.99",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"MT",0,"0.01",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"MT",0,"0.025",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"MT",0,"0.05",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"MT",0,"0.1",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"MT",0,"0.15",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"MT",0,"0.2",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"MT",0,"0.25",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"MT",0,"0.3",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"MT",0,"0.35",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"MT",1,"0.4",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"MT",1,"0.45",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"MT",1,"0.5",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"MT",1,"0.55",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"MT",1,"0.6",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"MT",1,"0.65",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"MT",1,"0.7",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"MT",2,"0.75",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"MT",2,"0.8",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"MT",2,"0.85",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"MT",3,"0.9",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"MT",3,"0.95",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"MT",4,"0.975",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"MT",4,"0.99",2026-04-29,"quantile","hospital admissions",2
2026-05-03,"PL",10,"0.01",2026-04-29,"quantile","hospital admissions",2
